,SMW,SMFCF,K0,SOPE,KSUB,longitude,latitude
0,0.08979536,0.18962136100000002,1.357097138,148.25472,99.73499345,-94.0,36.7
2,0.114223224,0.21998703600000002,0.88602856,138.696192,93.30471098,-86.9,32.8
5,0.114223224,0.21998703600000002,0.88602856,138.696192,93.30471098,-85.3,31.1
9,0.156154967,0.26497221,0.426985485,130.503168,87.79304029,-82.3,30.0
12,0.156154967,0.26497221,0.426985485,130.503168,87.79304029,-83.7,32.7
15,0.08979536,0.18962136100000002,1.357097138,148.25472,99.73499345,-87.5,31.7
18,0.08979536,0.18962136100000002,1.357097138,148.25472,99.73499345,-89.2,33.2
21,0.08979536,0.18962136100000002,1.357097138,148.25472,99.73499345,-91.9,34.3
24,0.08979536,0.18962136100000002,1.357097138,148.25472,99.73499345,-81.8,31.6
27,0.08979536,0.18962136100000002,1.357097138,148.25472,99.73499345,-79.2,33.9
32,0.08979536,0.18962136100000002,1.357097138,148.25472,99.73499345,-75.5,38.7
35,0.18640917399999998,0.317836374,0.250649143,97.219008,65.40187811,-123.4,43.8
38,0.114223224,0.21998703600000002,0.88602856,138.696192,93.30471098,-85.7,34.2
39,0.114223224,0.21998703600000002,0.88602856,138.696192,93.30471098,-81.5,35.7
40,0.114223224,0.21998703600000002,0.88602856,138.696192,93.30471098,-85.9,37.3
43,0.08979536,0.18962136100000002,1.357097138,148.25472,99.73499345,-84.2,34.1
45,0.114223224,0.21998703600000002,0.88602856,138.696192,93.30471098,-80.9,35.8
48,0.134917421,0.291974774,0.610573158,80.32089599999999,54.03405731,-79.7,40.6
50,0.114223224,0.21998703600000002,0.88602856,138.696192,93.30471098,-92.9,35.8
54,0.114223224,0.21998703600000002,0.88602856,138.696192,93.30471098,-94.9,34.7
58,0.08979536,0.18962136100000002,1.357097138,148.25472,99.73499345,-75.6,39.3
60,0.114223224,0.21998703600000002,0.88602856,138.696192,93.30471098,-123.2,42.9
63,0.114223224,0.21998703600000002,0.88602856,138.696192,93.30471098,-77.3,37.8
66,0.114223224,0.21998703600000002,0.88602856,138.696192,93.30471098,-121.1,40.0
68,0.114223224,0.21998703600000002,0.88602856,138.696192,93.30471098,-83.8,35.7
71,0.134917421,0.291974774,0.610573158,80.32089599999999,54.03405731,-76.3,39.9
73,0.114223224,0.21998703600000002,0.88602856,138.696192,93.30471098,-82.6,35.5
76,0.114223224,0.21998703600000002,0.88602856,138.696192,93.30471098,-94.4,32.1
79,0.114223224,0.21998703600000002,0.88602856,138.696192,93.30471098,-90.3,36.7
82,0.114223224,0.21998703600000002,0.88602856,138.696192,93.30471098,-82.5,32.2
87,0.114223224,0.21998703600000002,0.88602856,138.696192,93.30471098,-80.3,34.2
91,0.12132815300000001,0.24433236600000002,0.7797876659999999,119.23776000000001,80.21449309,-122.1,49.0
93,0.068672366,0.20222564899999998,1.945750824,119.40844799999999,80.32931956,-75.3,44.5
96,0.068672366,0.20222564899999998,1.945750824,119.40844799999999,80.32931956,-74.7,44.9
99,0.068672366,0.20222564899999998,1.945750824,119.40844799999999,80.32931956,-73.4,42.3
103,0.068672366,0.20222564899999998,1.945750824,119.40844799999999,80.32931956,-81.0,46.1
105,0.068672366,0.20222564899999998,1.945750824,119.40844799999999,80.32931956,-115.3,48.8
108,0.068672366,0.20222564899999998,1.945750824,119.40844799999999,80.32931956,-117.5,49.0
110,0.068672366,0.20222564899999998,1.945750824,119.40844799999999,80.32931956,-81.9,46.4
112,0.068672366,0.20222564899999998,1.945750824,119.40844799999999,80.32931956,-75.3,43.2
114,0.068672366,0.20222564899999998,1.945750824,119.40844799999999,80.32931956,-76.2,42.1
116,0.068672366,0.20222564899999998,1.945750824,119.40844799999999,80.32931956,-74.2,40.9
118,0.068672366,0.20222564899999998,1.945750824,119.40844799999999,80.32931956,-79.7,41.9
120,0.146509845,0.3028079,0.49896391100000004,77.675232,52.25424698,-80.4,39.7
