,NEWSUID,SCID,PROP,CLAF,PRID,Drain,DrainNum,Layer,TopDep,BotDep,CFRAG,CFRAG_std,SDTO,SDTO_std,STPC,STPC_std,CLPC,CLPC_std,PSCL,BULK,BULK_std,TAWC,TAWC_std,ORGC,ORGC_std,TOTN,TOTN_std,CNrt,CNrt_std,CECS,CECS_std,CECc,CECc_std,ECEC,ECEC_std,TEB,TEB_std,BSAT,BSAT_std,ALSA,ALSA_std,ESP,ESP_std,PHAQ,PHAQ_std,TCEQ,TCEQ_std,GYPS,GYPS_std,ELCO,ELCO_std,clay,STPCw,SDTOw,clayw,ORGCw,theta1500t,theta1500,SMW,theta33t,theta33,SMFCF,SAR,log10-k,K0,SOPE,KSUB,center,code_soil
762,WD30004592,2,30,"""ACg""","""ACg/C""","""I""",3,"""D1""",0,20,2,1.00E+00,57,2.50E+01,28,1.60E+01,15,1.30E+01,"""M""",1.53E+00,1.20E-01,18,7.00E+00,18.5100002,1.02E+01,1.14E+00,6.50E-01,1.80E+01,7.00E+00,7,3.00E+00,18,8.00E+00,5.00E+00,2.00E+00,4.00E+00,3.00E+00,51,3.50E+01,21,2.00E+01,1,0.00E+00,5.20E+00,8.00E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,15,0.28,0.57,0.15,0.01851,0.096311719,0.08979536,0.08979536,0.224017949,0.189621361,0.189621361,1.539051532,0.132610935,1.357097138,148.25472,99.73499345,"[-94.01250034395, 36.73749962910311]",4592
11109,WD30004592,1,70,"""ACf""","""ACf/C""","""W""",5,"""D1""",0,20,3,3.00E+00,50,2.30E+01,24,1.60E+01,26,1.60E+01,"""M""",1.52E+00,1.50E-01,13,4.00E+00,12.0900002,5.36E+00,9.50E-01,4.00E-01,1.40E+01,3.00E+00,7,4.00E+00,12,8.00E+00,4.00E+00,2.00E+00,2.00E+00,1.00E+00,43,2.60E+01,21,1.60E+01,1,1.00E+00,5.20E+00,5.00E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,26,0.24,0.5,0.26,0.01209,0.154521901,0.156154967,0.156154967,0.283044388,0.26497221,0.26497221,1.539051532,-0.369586888,0.426985485,130.503168,87.79304029,"[-94.01250034395, 36.73749962910311]",4592
4683,WD30004593,3,20,"""ACh""","""ACh/C""","""M""",4,"""D1""",0,20,8,8.00E+00,53,2.30E+01,28,1.60E+01,19,1.40E+01,"""M""",1.07E+00,4.40E-01,13,5.00E+00,13.2799997,6.38E+00,1.13E+00,4.50E-01,1.50E+01,5.00E+00,6,4.00E+00,12,6.00E+00,4.00E+00,2.00E+00,3.00E+00,3.00E+00,50,2.70E+01,11,9.00E+00,1,1.00E+00,5.20E+00,5.00E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,19,0.28,0.53,0.19,0.01328,0.11773967,0.114223224,0.114223224,0.248656584,0.219987036,0.219987036,1.539051532,-0.052552279,0.88602856,138.696192,93.30471098,"[-86.90416703905, 32.829166311403114]",4593
11101,WD30004593,1,60,"""ACf""","""ACf/C""","""W""",5,"""D1""",0,20,3,3.00E+00,50,2.30E+01,24,1.60E+01,26,1.60E+01,"""M""",1.52E+00,1.50E-01,13,4.00E+00,12.0900002,5.36E+00,9.50E-01,4.00E-01,1.40E+01,3.00E+00,7,4.00E+00,12,8.00E+00,4.00E+00,2.00E+00,2.00E+00,1.00E+00,43,2.60E+01,21,1.60E+01,1,1.00E+00,5.20E+00,5.00E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,26,0.24,0.5,0.26,0.01209,0.154521901,0.156154967,0.156154967,0.283044388,0.26497221,0.26497221,1.539051532,-0.369586888,0.426985485,130.503168,87.79304029,"[-86.90416703905, 32.829166311403114]",4593
216410,WD30004593,2,20,"""NTh""","""NTh/C""","""W""",5,"""D1""",0,20,10,8.00E+00,26,2.00E+01,29,1.80E+01,45,2.00E+01,"""F""",1.36E+00,2.10E-01,14,4.00E+00,18.2600002,9.50E+00,1.83E+00,5.90E-01,1.00E+01,3.00E+00,16,7.00E+00,22,9.00E+00,9.00E+00,5.00E+00,8.00E+00,5.00E+00,61,2.20E+01,17,1.60E+01,2,1.00E+00,5.50E+00,6.00E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,45,0.29,0.26,0.45,0.01826,0.251892477,0.267157424,0.267157424,0.374381487,0.399190012,0.399190012,2.246558284,-1.220768595,0.060149415,74.43216,50.072544,"[-86.90416703905, 32.829166311403114]",4593
4682,WD30004594,4,10,"""ACh""","""ACh/C""","""M""",4,"""D1""",0,20,8,8.00E+00,53,2.30E+01,28,1.60E+01,19,1.40E+01,"""M""",1.07E+00,4.40E-01,13,5.00E+00,13.2799997,6.38E+00,1.13E+00,4.50E-01,1.50E+01,5.00E+00,6,4.00E+00,12,6.00E+00,4.00E+00,2.00E+00,3.00E+00,3.00E+00,50,2.70E+01,11,9.00E+00,1,1.00E+00,5.20E+00,5.00E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,19,0.28,0.53,0.19,0.01328,0.11773967,0.114223224,0.114223224,0.248656584,0.219987036,0.219987036,1.539051532,-0.052552279,0.88602856,138.696192,93.30471098,"[-85.33750037865, 31.12916631820311]",4594
11116,WD30004594,1,50,"""ACf""","""ACf/C""","""W""",5,"""D1""",0,20,3,3.00E+00,50,2.30E+01,24,1.60E+01,26,1.60E+01,"""M""",1.52E+00,1.50E-01,13,4.00E+00,12.0900002,5.36E+00,9.50E-01,4.00E-01,1.40E+01,3.00E+00,7,4.00E+00,12,8.00E+00,4.00E+00,2.00E+00,2.00E+00,1.00E+00,43,2.60E+01,21,1.60E+01,1,1.00E+00,5.20E+00,5.00E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,26,0.24,0.5,0.26,0.01209,0.154521901,0.156154967,0.156154967,0.283044388,0.26497221,0.26497221,1.539051532,-0.369586888,0.426985485,130.503168,87.79304029,"[-85.33750037865, 31.12916631820311]",4594
216407,WD30004594,3,20,"""NTh""","""NTh/C""","""W""",5,"""D1""",0,20,10,8.00E+00,26,2.00E+01,29,1.80E+01,45,2.00E+01,"""F""",1.36E+00,2.10E-01,14,4.00E+00,18.2600002,9.50E+00,1.83E+00,5.90E-01,1.00E+01,3.00E+00,16,7.00E+00,22,9.00E+00,9.00E+00,5.00E+00,8.00E+00,5.00E+00,61,2.20E+01,17,1.60E+01,2,1.00E+00,5.50E+00,6.00E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,45,0.29,0.26,0.45,0.01826,0.251892477,0.267157424,0.267157424,0.374381487,0.399190012,0.399190012,2.246558284,-1.220768595,0.060149415,74.43216,50.072544,"[-85.33750037865, 31.12916631820311]",4594
240220,WD30004594,2,20,"""PTd""","""PTd/C""","""M""",4,"""D1""",0,20,21,1.90E+01,52,2.50E+01,27,1.70E+01,21,1.60E+01,"""M""",1.34E+00,2.70E-01,10,3.00E+00,9.39000034,4.90E+00,9.60E-01,5.60E-01,1.10E+01,4.00E+00,6,3.00E+00,15,1.10E+01,4.00E+00,3.00E+00,3.00E+00,2.00E+00,48,2.30E+01,33,2.90E+01,2,1.00E+00,5.20E+00,7.00E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,21,0.27,0.52,0.21,0.00939,0.128270719,0.12622862,0.12622862,0.258867746,0.233028259,0.233028259,2.246558284,-0.152124262,0.704491468,136.050528,91.52490065,"[-85.33750037865, 31.12916631820311]",4594
11107,WD30004595,1,60,"""ACf""","""ACf/C""","""W""",5,"""D1""",0,20,3,3.00E+00,50,2.30E+01,24,1.60E+01,26,1.60E+01,"""M""",1.52E+00,1.50E-01,13,4.00E+00,12.0900002,5.36E+00,9.50E-01,4.00E-01,1.40E+01,3.00E+00,7,4.00E+00,12,8.00E+00,4.00E+00,2.00E+00,2.00E+00,1.00E+00,43,2.60E+01,21,1.60E+01,1,1.00E+00,5.20E+00,5.00E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,26,0.24,0.5,0.26,0.01209,0.154521901,0.156154967,0.156154967,0.283044388,0.26497221,0.26497221,1.539051532,-0.369586888,0.426985485,130.503168,87.79304029,"[-82.27083372425, 30.004166322703114]",4595
